Date,Open,High,Low,Close,Adj Close,Volume
2011-10-14,1249.920044,1271.040039,1224.959961,1224.959961,1220.590332,52600
2011-10-17,1243.520020,1301.119995,1231.359985,1281.920044,1277.347168,63700
2011-10-18,1288.959961,1323.520020,1213.439941,1232.640015,1228.242920,73200
2011-10-19,1253.119995,1315.839966,1242.239990,1306.239990,1301.580444,46400
2011-10-20,1308.160034,1379.199951,1302.400024,1320.959961,1316.247803,57800
2011-10-21,1281.280029,1310.719971,1248.000000,1274.880005,1270.332153,45900
2011-10-24,1261.439941,1263.359985,1184.640015,1196.160034,1191.893188,55500
2011-10-25,1207.680054,1271.680054,1205.119995,1264.000000,1259.490967,70400
2011-10-26,1242.880005,1338.880005,1235.199951,1266.560059,1262.041992,72000
2011-10-27,1179.520020,1217.920044,1141.760010,1164.160034,1160.007202,73900
2011-10-28,1185.280029,1185.920044,1153.920044,1158.400024,1154.267822,37900
2011-10-31,1190.400024,1217.920044,1176.319946,1216.640015,1212.300049,36000
2011-11-01,1305.599976,1330.560059,1278.079956,1311.359985,1306.682129,85400
2011-11-02,1269.760010,1314.560059,1261.439941,1278.079956,1273.520874,46300
2011-11-03,1248.000000,1290.880005,1193.599976,1198.079956,1193.806152,48000
2011-11-04,1217.920044,1252.479980,1201.280029,1217.280029,1212.937744,45900
2011-11-07,1220.479980,1255.680054,1187.839966,1190.400024,1186.153564,54000
2011-11-08,1166.719971,1205.119995,1143.680054,1148.800049,1144.702026,49500
2011-11-09,1216.640015,1280.000000,1211.520020,1267.199951,1262.679565,56300
2011-11-10,1230.719971,1309.439941,1228.800049,1272.959961,1268.419067,53600
2011-11-11,1239.040039,1242.880005,1187.839966,1200.640015,1196.357056,37000
2011-11-14,1211.520020,1235.199951,1190.400024,1222.400024,1218.039551,31100
2011-11-15,1232.000000,1236.479980,1166.719971,1182.719971,1178.500977,36100
2011-11-16,1207.040039,1246.079956,1180.800049,1239.040039,1234.620117,40400
2011-11-17,1248.000000,1349.119995,1247.359985,1324.800049,1320.074219,65600
2011-11-18,1323.520020,1363.839966,1321.599976,1357.439941,1352.597656,60000
2011-11-21,1409.280029,1474.560059,1405.439941,1433.599976,1428.485962,57700
2011-11-22,1447.040039,1470.079956,1408.000000,1420.800049,1415.731812,53000
2011-11-23,1452.800049,1518.719971,1447.040039,1516.800049,1511.389282,51300
2011-11-25,1534.719971,1552.000000,1483.520020,1552.000000,1546.463623,26200
2011-11-28,1438.079956,1438.719971,1384.319946,1388.800049,1383.845947,29800
